"","state1","state2","party","facility","cases"
"121","New Jersey","NJ","DEMOCRAT","OTH",65
"122","New Jersey","NJ","DEMOCRAT","PUB",56
"123","New Jersey","NJ","DEMOCRAT","PVT",352
"124","New Mexico","NM","DEMOCRAT","MIL",3
"125","New Mexico","NM","DEMOCRAT","OTH",26
"126","New Mexico","NM","DEMOCRAT","PUB",22
"127","New Mexico","NM","DEMOCRAT","PVT",88
"128","New York","NY","DEMOCRAT","MIL",6
"129","New York","NY","DEMOCRAT","OTH",191
"130","New York","NY","DEMOCRAT","PUB",96
"131","New York","NY","DEMOCRAT","PVT",800
"132","North Carolina","NC","REPUBLICAN","MIL",34
"133","North Carolina","NC","REPUBLICAN","OTH",56
"134","North Carolina","NC","REPUBLICAN","PUB",109
"135","North Carolina","NC","REPUBLICAN","PVT",220
"136","North Dakota","ND","REPUBLICAN","OTH",5
"137","North Dakota","ND","REPUBLICAN","PUB",19
"138","North Dakota","ND","REPUBLICAN","PVT",45
"139","Ohio","OH","REPUBLICAN","MIL",6
"140","Ohio","OH","REPUBLICAN","OTH",80
"141","Ohio","OH","REPUBLICAN","PUB",144
"142","Ohio","OH","REPUBLICAN","PVT",385
"143","Oklahoma","OK","REPUBLICAN","MIL",5
"144","Oklahoma","OK","REPUBLICAN","OTH",50
"145","Oklahoma","OK","REPUBLICAN","PUB",53
"146","Oklahoma","OK","REPUBLICAN","PVT",122
"147","Oregon","OR","DEMOCRAT","OTH",34
"148","Oregon","OR","DEMOCRAT","PUB",25
"149","Oregon","OR","DEMOCRAT","PVT",197
"150","Pennsylvania","PA","DEMOCRAT","MIL",7
"151","Pennsylvania","PA","DEMOCRAT","OTH",57
"152","Pennsylvania","PA","DEMOCRAT","PUB",50
"153","Pennsylvania","PA","DEMOCRAT","PVT",496
"154","Rhode Island","RI","DEMOCRAT","MIL",1
"155","Rhode Island","RI","DEMOCRAT","OTH",7
"156","Rhode Island","RI","DEMOCRAT","PUB",5
"157","Rhode Island","RI","DEMOCRAT","PVT",38
